feature_importance,feature_names
18.52830769747651,Rotational speed [rpm]*Torque [Nm]
5.784781213578224,Torque [Nm]+Tool wear [min]
5.423408968345432,Torque [Nm]*Tool wear [min]
4.094363500424027,Process temperature [K]*Difference_of_temperature
2.5742517508819507,Rotational speed [rpm]*Difference_of_temperature
2.1094216045163665,Air temperature [K]*Difference_of_temperature
1.9577558916349198,Torque [Nm]*Difference_of_temperature
1.643020872745244,Rotational speed [rpm]-Tool wear [min]
1.614869510346671,Tool wear [min]+Type_M
1.5889335732280154,Rotational speed [rpm]-Torque [Nm]
1.571703657599896,Difference_of_temperature-Type_M
1.5710257833868884,Process temperature [K]-Rotational speed [rpm]
1.400161073345788,Air temperature [K]-Process temperature [K]
1.3162581910707523,Torque [Nm]-Difference_of_temperature
1.3081121086434333,Rotational speed [rpm]_log
1.1563508857292102,Process temperature [K]-Tool wear [min]
1.1512498767380244,Rotational speed [rpm]+Tool wear [min]
1.1349350419441764,Torque [Nm]_exp
1.1305464111930605,Rotational speed [rpm]+Type_L
1.1126855735720693,Torque [Nm]+Type_M
1.11216031929418,Torque [Nm]*Type_M
1.085536831599754,Torque [Nm]-Type_L
1.014384412332013,Rotational speed [rpm]
1.0106128407690251,Rotational speed [rpm]+Type_H
0.9673058780522251,Torque [Nm]+Type_H
0.9547306642850075,Air temperature [K]+Torque [Nm]
0.9543432966963002,Torque [Nm]-Type_H
0.9359040916797322,Rotational speed [rpm]*Tool wear [min]
0.9349155360195047,Torque [Nm]+Difference_of_temperature
0.9346049663227115,Air temperature [K]-Difference_of_temperature
0.9292871813776737,Difference_of_temperature+Type_H
0.9029643719840196,Rotational speed [rpm]*Type_L
0.8618058446854627,Tool wear [min]+Difference_of_temperature
0.8546405036503077,Air temperature [K]-Tool wear [min]
0.8515734631938953,Difference_of_temperature
0.8158804933885676,Tool wear [min]*Difference_of_temperature
0.8047995455655336,Process temperature [K]-Torque [Nm]
0.7684938429647559,Air temperature [K]+Rotational speed [rpm]
0.741190285400352,Rotational speed [rpm]+Torque [Nm]
0.6958990909632099,Torque [Nm]-Type_M
0.6951520336164357,Process temperature [K]+Rotational speed [rpm]
0.6872993825450721,Process temperature [K]*Rotational speed [rpm]
0.6701407764085168,Torque [Nm]+Type_L
0.662357175530197,Process temperature [K]+Torque [Nm]
0.6600376967931544,Difference_of_temperature-Type_H
0.656324832849556,Process temperature [K]*Tool wear [min]
0.6467423594650111,Difference_of_temperature+Type_M
0.6309667311544332,Tool wear [min]
0.625349668145934,Rotational speed [rpm]-Difference_of_temperature
0.609498871778722,Air temperature [K]*Torque [Nm]
0.6067657253500309,Process temperature [K]+Type_H
0.5972537855952724,Torque [Nm]-Tool wear [min]
0.5958184441795327,Air temperature [K]-Torque [Nm]
0.5863899773481243,Tool wear [min]+Type_L
0.578024546293977,Air temperature [K]+Type_L
0.5351552693000986,Process temperature [K]-Type_M
0.5291388037883997,Air temperature [K]*Tool wear [min]
0.5155507464160108,Rotational speed [rpm]-Type_L
0.4960118368720481,Air temperature [K]-Type_L
0.49332971320648417,Difference_of_temperature+Type_L
0.47676858440618103,Air temperature [K]*Rotational speed [rpm]
0.47617009047076947,Air temperature [K]-Type_H
0.4622841505078343,Tool wear [min]-Type_L
0.4429933394619475,Process temperature [K]*Torque [Nm]
0.4337780633815013,Process temperature [K]+Difference_of_temperature
0.4247291144989331,Tool wear [min]-Difference_of_temperature
0.4022104940670377,Tool wear [min]-Type_M
0.39945131898175523,Rotational speed [rpm]*Type_H
0.3942156825657962,Air temperature [K]-Rotational speed [rpm]
0.3863011511640315,Tool wear [min]*Type_L
0.3602142985596171,Rotational speed [rpm]-Type_H
0.3448737061998311,Air temperature [K]+Tool wear [min]
0.32460708818460693,Torque [Nm]*Type_L
0.32042079602759665,Rotational speed [rpm]-Type_M
0.32031602646105845,Torque [Nm]_log
0.3008066790225553,Tool wear [min]-Type_H
0.2737607602460871,Torque [Nm]
0.26468158013553394,Rotational speed [rpm]+Difference_of_temperature
0.2564944349761795,Air temperature [K]+Process temperature [K]
0.2544737910653383,Air temperature [K]-Type_M
0.25151247758750733,Tool wear [min]+Type_H
0.2513030326766974,Difference_of_temperature*Type_L
0.2359389303786094,Tool wear [min]*Type_M
0.21014871073943114,Process temperature [K]+Type_L
0.19022535861544848,Rotational speed [rpm]+Type_M
0.18504652803626911,Process temperature [K]+Tool wear [min]
0.17725103017444407,Air temperature [K]*Process temperature [K]
0.1730895236027716,Difference_of_temperature*Type_H
0.17224146511581723,Process temperature [K]-Type_L
0.16370044931410602,Air temperature [K]*Type_M
0.16199758775080386,Air temperature [K]*Type_L
0.16109237516441224,Difference_of_temperature*Type_M
0.15869681323509097,Air temperature [K]+Difference_of_temperature
0.14309656092928258,Rotational speed [rpm]*Type_M
0.14178295526478055,Process temperature [K]+Type_M
0.13908100925749364,Air temperature [K]+Type_M
0.13623246354826832,Process temperature [K]*Type_M
0.13457552098913317,Air temperature [K]+Type_H
0.13236441000520727,Difference_of_temperature-Type_L
