feature_importance,feature_names
6.42355435302813,Rotational speed [rpm]*Torque [Nm]
5.155880498212451,Torque [Nm]*Tool wear [min]
2.626608677445341,Rotational speed [rpm]+Torque [Nm]
2.6226184042626257,Air temperature [K]*Rotational speed [rpm]
2.4680157762127872,Torque [Nm]+Tool wear [min]
2.197321924020725,Rotational speed [rpm]+Type_L
1.9907152462037787,Process temperature [K]*Difference_of_temperature
1.937725634499271,Rotational speed [rpm]-Torque [Nm]
1.9199496352193008,Process temperature [K]+Rotational speed [rpm]
1.8850295156336676,Tool wear [min]*Difference_of_temperature
1.6796077851485747,Process temperature [K]+Difference_of_temperature
1.5540934179957646,Process temperature [K]+Tool wear [min]
1.5396354936011711,Torque [Nm]*Difference_of_temperature
1.5107225237957689,Rotational speed [rpm]+Tool wear [min]
1.4451941455186998,Air temperature [K]+Type_H
1.4383576989240894,Rotational speed [rpm]*Tool wear [min]
1.3960301218628242,Rotational speed [rpm]-Tool wear [min]
1.3686233473508003,Rotational speed [rpm]-Type_H
1.350714431808344,Torque [Nm]
1.3425314579389036,Air temperature [K]*Difference_of_temperature
1.3318120694115816,Process temperature [K]*Rotational speed [rpm]
1.330837843535097,Rotational speed [rpm]+Difference_of_temperature
1.3274483809579616,Difference_of_temperature
1.3047189827757968,Air temperature [K]+Rotational speed [rpm]
1.2800441550899224,Process temperature [K]*Torque [Nm]
1.2649634956318652,Rotational speed [rpm]
1.2618879971026193,Process temperature [K]*Tool wear [min]
1.2512981120246467,Rotational speed [rpm]*Difference_of_temperature
1.212720660821325,Torque [Nm]*Type_L
1.1562791647443704,Torque [Nm]-Difference_of_temperature
1.154408797748902,Air temperature [K]+Torque [Nm]
1.1228781326804254,Rotational speed [rpm]+Type_M
1.1141217470962792,Tool wear [min]-Type_H
1.1115145914798819,Difference_of_temperature+Type_H
1.1006501946753768,Air temperature [K]-Rotational speed [rpm]
1.0735228496576745,Process temperature [K]-Rotational speed [rpm]
1.0635439024371742,Air temperature [K]-Type_M
1.0599332335233025,Tool wear [min]+Type_H
1.0540069577344966,Torque [Nm]-Type_L
1.0064068749539001,Difference_of_temperature-Type_H
1.0049445555389174,Air temperature [K]-Process temperature [K]
0.992593020902796,Tool wear [min]-Type_L
0.9749754812660695,Process temperature [K]-Tool wear [min]
0.9736179764362524,Process temperature [K]+Torque [Nm]
0.9682462168697604,Torque [Nm]-Type_H
0.9295325378486152,Rotational speed [rpm]-Type_L
0.9262284646102841,Difference_of_temperature+Type_M
0.9190058186711909,Process temperature [K]-Type_L
0.860118247137146,Process temperature [K]-Torque [Nm]
0.8279969061432337,Tool wear [min]-Difference_of_temperature
0.7419500968989496,Tool wear [min]-Type_M
