iter	Passed	Remaining
0	15	15368
1	32	15989
2	49	16299
3	65	16263
4	83	16588
5	99	16404
6	113	16092
7	128	15935
8	142	15687
9	157	15558
10	171	15424
11	186	15329
12	199	15167
13	214	15085
14	228	14982
15	241	14854
16	256	14826
17	270	14747
18	284	14671
19	297	14599
20	312	14589
21	327	14556
22	342	14533
23	357	14523
24	374	14621
25	392	14714
26	409	14742
27	426	14800
28	443	14837
29	461	14930
30	477	14919
31	494	14953
32	510	14967
33	526	14957
34	540	14913
35	555	14870
36	569	14814
37	582	14758
38	597	14710
39	610	14650
40	625	14631
41	640	14602
42	655	14587
43	671	14591
44	685	14540
45	699	14516
46	714	14485
47	729	14475
48	745	14461
49	764	14528
50	779	14501
51	794	14478
52	808	14446
53	822	14403
54	835	14352
55	849	14314
56	863	14286
57	878	14261
58	891	14226
59	904	14174
60	919	14159
61	933	14119
62	947	14086
63	962	14075
64	978	14076
65	994	14079
66	1010	14075
67	1026	14066
68	1043	14074
69	1059	14071
70	1075	14072
71	1089	14036
72	1104	14019
73	1118	13990
74	1132	13964
75	1145	13928
76	1159	13900
77	1173	13872
78	1186	13832
79	1201	13819
80	1217	13808
81	1231	13791
82	1246	13771
83	1261	13756
84	1275	13726
85	1289	13702
86	1303	13676
87	1318	13667
88	1333	13652
89	1347	13629
90	1362	13611
91	1376	13583
92	1389	13554
93	1403	13531
94	1416	13498
95	1431	13483
96	1446	13466
97	1461	13447
98	1475	13425
99	1488	13398
100	1503	13379
101	1516	13350
102	1531	13334
103	1545	13311
104	1558	13286
105	1572	13260
106	1585	13235
107	1599	13209
108	1612	13179
109	1626	13159
110	1641	13148
111	1656	13137
112	1670	13111
113	1684	13091
114	1697	13061
115	1710	13036
116	1724	13013
117	1738	12995
118	1752	12977
119	1771	12988
120	1785	12967
121	1799	12951
122	1814	12934
123	1827	12910
124	1842	12894
125	1856	12879
126	1871	12864
127	1885	12846
128	1898	12819
129	1912	12796
130	1925	12770
131	1940	12758
132	1953	12734
133	1968	12720
134	1985	12719
135	1999	12702
136	2013	12684
137	2028	12672
138	2046	12676
139	2061	12661
140	2076	12649
141	2093	12647
142	2108	12639
